unique_key,test_date,location,building_address,borough,community_board,pollutant_name,pollutant_symbol,result_value,unit_of_measurement,status,action_required,inspector,latitude,longitude
100074,2017-05-08T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,48.61,ppb,Pass,No,M. Rodriguez,40.661926,-73.91581
100075,2017-12-30T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,47.76,ppb,Pass,No,M. Rodriguez,40.663753,-73.915821
100076,2018-06-14T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,16.43,ppb,Pass,No,K. Martinez,40.662344,-73.919371
100077,2017-05-05T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,6.62,ppb,Pass,No,M. Rodriguez,40.662611,-73.917448
100078,2018-01-21T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,190.03,ppb,Fail,Yes,K. Martinez,40.665152,-73.917321
100079,2018-01-28T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,30.54,µg/m³,Pass,No,K. Martinez,40.664762,-73.918468
100080,2018-05-12T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,1135.81,ppm,Fail,Yes,D. Thompson,40.662732,-73.917258
100081,2018-08-16T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,20.87,µg/m³,Pass,No,J. Williams,40.664143,-73.916014
100082,2017-09-01T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,56.89,%,Borderline,No,K. Martinez,40.661991,-73.918983
100083,2017-09-15T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,18.55,ppb,Pass,No,J. Williams,40.663171,-73.916914
100084,2017-04-15T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,57.42,%,Borderline,No,K. Martinez,40.663226,-73.915904
100085,2017-05-06T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,5.39,ppb,Pass,No,S. Patel,40.662211,-73.915719
100086,2018-04-18T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,6.96,ppb,Pass,No,D. Thompson,40.662608,-73.918049
100087,2017-04-05T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,42.5,%,Pass,No,M. Rodriguez,40.663479,-73.918832
100088,2017-09-17T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,28.9,µg/m³,Pass,No,K. Martinez,40.664902,-73.915527
100089,2018-05-13T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,9.15,µg/m³,Pass,No,L. Johnson,40.662945,-73.915918
100090,2018-03-31T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,538.89,ppm,Pass,No,S. Patel,40.663184,-73.918986
100091,2017-10-08T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,2.35,ppm,Fail,Yes,D. Thompson,40.665203,-73.915798
100092,2018-06-08T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,2.16,ppm,Borderline,No,S. Patel,40.664358,-73.915893
100093,2018-07-25T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,1131.44,ppm,Fail,Yes,K. Martinez,40.663332,-73.918368
100094,2017-04-25T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,468.42,ppm,Pass,No,J. Williams,40.663075,-73.916357
100095,2018-09-08T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,2.85,pCi/L,Pass,No,A. Chen,40.663433,-73.918252
100096,2018-07-30T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,166.16,ppb,Borderline,No,D. Thompson,40.661931,-73.916246
100097,2018-07-09T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,23.21,ppb,Pass,No,J. Williams,40.662569,-73.917939
100098,2017-05-31T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,3.04,pCi/L,Borderline,No,S. Patel,40.662969,-73.917218
100099,2017-12-23T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,39.46,ppb,Pass,No,J. Williams,40.663185,-73.917641
100100,2017-09-09T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,3.21,pCi/L,Borderline,No,S. Patel,40.662952,-73.91667
100101,2018-05-01T00:00:00,Basement Level 1,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,931.91,ppm,Borderline,No,A. Chen,40.664486,-73.918722
100102,2018-08-19T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,70.11,ppb,Pass,No,L. Johnson,40.663669,-73.915691
100103,2017-10-01T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,176.65,ppb,Borderline,No,M. Rodriguez,40.66532,-73.918245
100104,2017-11-07T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,24.75,ppb,Fail,Yes,J. Williams,40.664812,-73.918743
100105,2018-03-13T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,4.32,ppb,Pass,No,L. Johnson,40.662733,-73.918743
100106,2018-01-27T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,5.33,ppb,Pass,No,L. Johnson,40.663008,-73.916125
100107,2018-07-31T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,60.48,%,Fail,Yes,J. Williams,40.663199,-73.917783
100108,2017-09-13T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,73.22,ppb,Pass,No,D. Thompson,40.663674,-73.91718
100109,2018-06-17T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,54.41,ppb,Borderline,No,K. Martinez,40.662203,-73.919432
100110,2018-07-16T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,990.71,ppm,Borderline,No,L. Johnson,40.664415,-73.916573
100111,2018-05-30T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,35.35,µg/m³,Pass,No,A. Chen,40.66369,-73.916363
100112,2018-03-20T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,28.88,ppb,Pass,No,K. Martinez,40.661866,-73.916226
100113,2018-06-29T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,34.7,ppb,Borderline,No,M. Rodriguez,40.663856,-73.917816
100114,2017-05-03T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,48.84,µg/m³,Fail,Yes,D. Thompson,40.665141,-73.918885
100115,2017-09-12T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,44.1,%,Pass,No,J. Williams,40.661677,-73.918514
100116,2018-07-17T00:00:00,Basement Level 1,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,3.89,ppb,Pass,No,J. Williams,40.66513,-73.917607
100117,2018-06-27T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,2.15,ppm,Borderline,No,J. Williams,40.663873,-73.916568
100118,2018-05-02T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,27.41,µg/m³,Pass,No,D. Thompson,40.661994,-73.916756
100119,2017-07-09T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,17.46,ppb,Pass,No,A. Chen,40.663909,-73.918986
100120,2018-03-21T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,4.75,ppb,Pass,No,M. Rodriguez,40.665141,-73.918193
100121,2017-09-30T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,10.62,µg/m³,Pass,No,J. Williams,40.664474,-73.91689
100122,2017-10-26T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,99.19,ppb,Pass,No,J. Williams,40.664136,-73.917722
100123,2017-03-13T00:00:00,Basement Level 1,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,25.99,µg/m³,Pass,No,A. Chen,40.663887,-73.918945
100124,2017-08-04T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,97.6,ppb,Pass,No,J. Williams,40.664635,-73.91799
100125,2018-02-17T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,2.52,pCi/L,Pass,No,J. Williams,40.663549,-73.919242
100126,2017-07-23T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,18.28,µg/m³,Pass,No,D. Thompson,40.664913,-73.91675
100127,2018-06-26T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,19.33,ppb,Borderline,No,A. Chen,40.66518,-73.919018
100128,2017-09-02T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.53,ppm,Pass,No,L. Johnson,40.664069,-73.919224
100129,2018-01-16T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,2.83,ppb,Pass,No,A. Chen,40.662539,-73.9189
100130,2017-07-31T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,850.07,ppm,Pass,No,K. Martinez,40.663645,-73.917408
100131,2017-03-14T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,1.33,pCi/L,Pass,No,M. Rodriguez,40.664266,-73.917526
100132,2017-03-27T00:00:00,"Building 2, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,46.36,µg/m³,Fail,Yes,J. Williams,40.662012,-73.916945
